item_name,price,rating,reviews,brand_name,weighted_review
Crocs Unisex-Adult Classic Clogs,26.65,4.8,532063,Crocs,2553902.4
Crocs Unisex-Child Classic Clog,34.99,4.8,118999,Crocs,571195.2
Hey Dude Women's Wendy L,30.64,4.7,111484,Hey Dude,523974.80000000005
Saucony Women's Performance Heel Tab Athletic Socks (8 & 16 Pairs),12.61,4.8,100659,Saucony,483163.19999999995
Crocs unisex-adult Classic Lined Clog,32.66,4.8,92661,Crocs,444772.8
"Crocs Men's Clog, 0",32.95,4.8,82240,Crocs,394752.0
Hey Dude Men's Wally Sox | Men's Loafers | Men's Slip On Shoes | Comfortable & Light-Weight,35.09,4.8,74104,Hey Dude,355699.2
Skechers Women's Go Joy Walking Shoe Sneaker,40.0,4.5,78663,Skechers,353983.5
Crocs Unisex-Adult Crocband Clog,24.99,4.6,74317,Crocs,341858.19999999995
Under Armour Men's Ignite Vi Slide Sandal,24.55,4.6,67261,Under Armour,309400.6
Amazon Essentials Women's Belice Ballet Flat,24.9,4.3,66566,Amazon Essentials,286233.8
New Balance Women's FuelCore Nergize V1 Sneaker,64.39,4.4,63732,New Balance,280420.80000000005
Crocs unisex-adult Classic Realtree Clog,24.99,4.8,55086,Crocs,264412.8
Crocs Unisex Bistro Clog,37.09,4.5,57722,Crocs,259749.0
Skechers Women's Summits Sneaker,44.99,4.5,56318,Skechers,253431.0
Saucony Men's Multi-Pack Mesh Ventilating Comfort Fit Performance No-Show Socks,14.99,4.6,54904,Saucony,252558.4
PUMA Men's Tazon 6 Sneaker,55.79,4.5,53533,PUMA,240898.5
Skechers Men's Afterburn Memory-Foam Lace-up Sneaker,45.0,4.4,53722,Skechers,236376.80000000002
Hey Dude Women's Wendy Sox | Women’s Shoes | Women’s Lace Up Loafers | Comfortable & Light-Weight,38.5,4.7,49704,Hey Dude,233608.80000000002
Skechers Men's Energy Afterburn Shoes Lace-Up Sneaker,42.99,4.5,46700,Skechers,210150.0
Under Armour Men's Charged Assert 9 Running Shoe,45.45,4.6,45431,Under Armour,208982.59999999998
Crocs unisex-adult Bayaband Clogs,41.24,4.7,44090,Crocs,207223.0
Crocs Unisex Crocband Flip Flops,22.49,4.6,43508,Crocs,200136.8
Skechers Women's Plush-Peace and Love Ballet Flat,15.0,4.5,43783,Skechers,197023.5
Skechers Men's Go Max-Athletic Air Mesh Slip on Walking Shoe Sneaker,39.99,4.5,43293,Skechers,194818.5
Hey Dude Men's Wally Funk-Multiple Colors and Size | Men’s Shoes | Comfortable & Light-Weight,36.13,4.7,39812,Hey Dude,187116.4
Skechers Women's Squad Sr Food Service Shoe,50.0,4.3,43295,Skechers,186168.5
Hey Dude Men’s Wally Loafer Multiple Colors | Men’s Shoes | Men's Lace Up Loafers,35.97,4.7,38352,Hey Dude,180254.4
Hey Dude Wally Woven,26.55,4.7,38073,Hey Dude,178943.1
Skechers Men's Go Walk Evolution Ultra-Impeccable Sneaker,54.35,4.6,37371,Skechers,171906.59999999998
Merrell Men's Jungle Leather Slip-On Shoe,55.2,4.6,36590,Merrell,168314.0
Skechers Women's Go Walk 5 Sneaker,44.99,4.5,37084,Skechers,166878.0
Skechers Sport Women's D'Lites Slip-On Mule Sneaker,46.82,4.6,35849,Skechers,164905.4
Skechers Men's Expected Avillo Relaxed-Fit Slip-On Loafer,41.99,4.6,35638,Skechers,163934.8
"Crocs Women's Swiftwater Sandal, Lightweight and Sporty Sandals for Women",35.45,4.5,33731,Crocs,151789.5
Columbia Men's Newton Ridge Plus Ii Waterproof Hiking Shoe,69.99,4.5,32671,Columbia,147019.5
Skechers Men's Classic Fit-Delson-Camden Sneaker,49.0,4.6,31664,Skechers,145654.4
Skechers Men's Equalizer Double Play Slip-On Loafer,39.79,4.6,31096,Skechers,143041.59999999998
PUMA Men's Roma Classic Gum Sneaker,39.76,4.3,32165,PUMA,138309.5
Lugz Men's Clipper Sneaker,32.9,4.3,31203,Lugz,134172.9
New Balance Women's 608 V5 Cross Trainer,62.0,4.5,29509,New Balance,132790.5
Skechers Men's Afterburn M. Fit Wonted Loafer,47.0,4.5,28852,Skechers,129834.0
Brooks Women's Ghost 14 Neutral Running Shoe,89.95,4.7,27594,Brooks,129691.8
Brooks Women's Ghost 13 Running Shoe,129.99,4.7,27564,Brooks,129550.8
"Skechers for Work Men's Felton Shoe, Black",50.78,4.4,29063,Skechers,127877.20000000001
Skechers Men's Go Walk Max-54601 Sneaker,36.0,4.6,27666,Skechers,127263.59999999999
